Topic-1,Topic-2,Correlation
,,
9804163-16,9908038-17,0.747
,,
9804163-16,9908038-17,0.747
,,
9804163-16,9908038-17,0.747
,,
9804163-16,9908038-17,0.747
,,
9804163-16,9908038-17,0.747
,,
9804163-16,9908038-17,0.747
,,
9804163-16,9908038-17,0.747
,,
9804163-16,9908038-17,0.747
,,
9804163-16,9908038-17,0.747
,,
9804163-16,9908038-17,0.747
,,
9804163-16,9908038-17,0.747
,,
9804163-16,9908038-17,0.747
,,
9804163-16,9908038-17,0.747
,,
9804163-0,9908038-10,0.55
,,
9804163-16,9908038-17,0.747
,,
9804163-16,9908038-17,0.747
,,
9804163-16,9908038-17,0.747
,,
9804163-16,9908038-17,0.747
,,
9804163-16,9908038-17,0.747
,,
9804163-16,9908038-17,0.747
,,
9908038-17,4038-13,0.653
,,
9908038-17,4038-13,0.653
,,
9908038-17,4038-13,0.653
,,
9908038-17,4038-13,0.653
,,
9908038-17,4038-13,0.653
,,
9908038-17,4038-13,0.653
,,
9908038-17,4038-13,0.653
,,
9908038-17,4038-13,0.653
,,
9908038-17,4038-13,0.653
,,
9908038-17,4038-13,0.653
,,
9908038-17,4038-13,0.653
,,
9908038-17,4038-13,0.653
,,
9908038-17,4038-13,0.653
,,
9908038-17,4038-13,0.653
,,
9908038-17,4038-13,0.653
,,
9908038-17,4038-13,0.653
,,
9908038-17,4038-13,0.653
,,
9908038-17,4038-13,0.653
,,
9908038-10,4038-7,0.496
,,
9908038-17,4038-13,0.653
,,
9908038-17,4038-13,0.653
,,
9908038-17,4038-13,0.653
,,
9908038-17,4038-13,0.653
,,
9908038-17,4038-13,0.653
,,
9908038-17,4038-13,0.653
,,
4038-13,4183-5,0.603
,,
4038-13,4183-5,0.603
,,
4038-13,4183-5,0.603
,,
4038-13,4183-5,0.603
,,
4038-13,4183-5,0.603
,,
4038-13,4183-5,0.603
,,
4038-13,4183-5,0.603
,,
4038-13,4183-5,0.603
,,
4038-13,4183-5,0.603
,,
4038-13,4183-5,0.603
,,
4038-13,4183-5,0.603
,,
4038-13,4183-5,0.603
,,
4038-13,4183-5,0.603
,,
4038-13,4183-5,0.603
,,
4038-13,4183-5,0.603
,,
4038-13,4183-5,0.603
,,
4038-13,4183-5,0.603
,,
4038-13,4183-5,0.603
,,
4038-7,4183-14,0.651
,,
4038-13,4183-5,0.603
,,
4038-13,4183-5,0.603
,,
4038-13,4183-5,0.603
,,
4038-13,4183-5,0.603
,,
4038-13,4183-5,0.603
,,
4038-13,4183-5,0.603
,,
4183-5,8057-19,0.616
,,
4183-5,8057-18,0.621
,,
4183-5,8057-18,0.621
,,
4183-5,8057-14,0.624
,,
4183-5,8057-8,0.632
,,
4183-5,8057-8,0.632
,,
4183-5,8057-19,0.616
,,
4183-5,8057-18,0.621
,,
4183-5,8057-18,0.621
,,
4183-5,8057-14,0.624
,,
4183-5,8057-8,0.632
,,
4183-5,8057-8,0.632
,,
4183-5,8057-19,0.616
,,
4183-5,8057-18,0.621
,,
4183-5,8057-18,0.621
,,
4183-5,8057-14,0.624
,,
4183-5,8057-8,0.632
,,
4183-5,8057-8,0.632
,,
4183-14,8057-14,0.597
,,
4183-5,8057-19,0.616
,,
4183-5,8057-18,0.621
,,
4183-5,8057-18,0.621
,,
4183-5,8057-14,0.624
,,
4183-5,8057-8,0.632
,,
4183-5,8057-8,0.632
,,
8057-19,12175-17,0.64
,,
8057-18,12175-12,0.627
,,
8057-18,12175-12,0.627
,,
8057-14,12175-17,0.684
,,
8057-8,12175-12,0.623
,,
8057-8,12175-12,0.623
,,
8057-19,12175-17,0.64
,,
8057-18,12175-12,0.627
,,
8057-18,12175-12,0.627
,,
8057-14,12175-17,0.684
,,
8057-8,12175-12,0.623
,,
8057-8,12175-12,0.623
,,
8057-19,12175-17,0.64
,,
8057-18,12175-12,0.627
,,
8057-18,12175-12,0.627
,,
8057-14,12175-17,0.684
,,
8057-8,12175-12,0.623
,,
8057-8,12175-12,0.623
,,
8057-14,12175-17,0.684
,,
8057-19,12175-17,0.64
,,
8057-18,12175-12,0.627
,,
8057-18,12175-12,0.627
,,
8057-14,12175-17,0.684
,,
8057-8,12175-12,0.623
,,
8057-8,12175-12,0.623
,,
12175-17,106138-16,0.583
,,
12175-12,106138-17,0.658
,,
12175-12,106138-18,0.712
,,
12175-17,106138-16,0.583
,,
12175-12,106138-17,0.658
,,
12175-12,106138-18,0.712
,,
12175-17,106138-16,0.583
,,
12175-12,106138-17,0.658
,,
12175-12,106138-18,0.712
,,
12175-17,106138-16,0.583
,,
12175-12,106138-17,0.658
,,
12175-12,106138-18,0.712
,,
12175-17,106138-16,0.583
,,
12175-12,106138-17,0.658
,,
12175-12,106138-18,0.712
,,
12175-17,106138-16,0.583
,,
12175-12,106138-17,0.658
,,
12175-12,106138-18,0.712
,,
12175-17,106138-16,0.583
,,
12175-17,106138-16,0.583
,,
12175-12,106138-17,0.658
,,
12175-12,106138-18,0.712
,,
12175-17,106138-16,0.583
,,
12175-12,106138-17,0.658
,,
12175-12,106138-18,0.712
,,
106138-16,201228-1,0.633
,,
106138-17,201228-7,0.727
,,
106138-18,201228-2,0.755
,,
106138-16,201228-1,0.633
,,
106138-17,201228-7,0.727
,,
106138-18,201228-2,0.755
,,
106138-16,201228-1,0.633
,,
106138-17,201228-7,0.727
,,
106138-18,201228-2,0.755
,,
106138-16,201228-1,0.633
,,
106138-17,201228-7,0.727
,,
106138-18,201228-2,0.755
,,
106138-16,201228-1,0.633
,,
106138-17,201228-7,0.727
,,
106138-18,201228-2,0.755
,,
106138-16,201228-1,0.633
,,
106138-17,201228-7,0.727
,,
106138-18,201228-2,0.755
,,
106138-16,201228-1,0.633
,,
106138-16,201228-1,0.633
,,
106138-17,201228-7,0.727
,,
106138-18,201228-2,0.755
,,
106138-16,201228-1,0.633
,,
106138-17,201228-7,0.727
,,
106138-18,201228-2,0.755
,,
201228-1,207149-11,0.617
,,
201228-7,207149-13,0.65
,,
201228-2,207149-2,0.62
,,
201228-1,207149-11,0.617
,,
201228-7,207149-13,0.65
,,
201228-2,207149-2,0.62
,,
201228-1,207149-11,0.617
,,
201228-7,207149-13,0.65
,,
201228-2,207149-2,0.62
,,
201228-1,207149-11,0.617
,,
201228-7,207149-13,0.65
,,
201228-2,207149-2,0.62
,,
201228-1,207149-11,0.617
,,
201228-7,207149-13,0.65
,,
201228-2,207149-2,0.62
,,
201228-1,207149-11,0.617
,,
201228-7,207149-13,0.65
,,
201228-2,207149-2,0.62
,,
201228-1,207149-11,0.617
,,
201228-1,207149-11,0.617
,,
201228-7,207149-13,0.65
,,
201228-2,207149-2,0.62
,,
201228-1,207149-11,0.617
,,
201228-7,207149-13,0.65
,,
201228-2,207149-2,0.62
,,
9205041-2,9601108-6,0.55
,,
9205041-0,9601108-6,0.551
,,
9205041-5,9601108-7,0.555
,,
9205041-0,9601108-8,0.558
,,
9205041-0,9601108-8,0.558
,,
9205041-0,9601108-4,0.574
,,
9205041-0,9601108-4,0.574
,,
9205041-0,9601108-4,0.574
,,
9205041-0,9601108-4,0.574
,,
9205041-0,9601108-4,0.574
,,
9205041-0,9601108-4,0.574
,,
9601108-6,9605150-4,0.637
,,
9601108-6,9605150-4,0.637
,,
9601108-7,9605150-13,0.587
,,
9601108-8,9605150-13,0.662
,,
9601108-8,9605150-16,0.682
,,
9601108-4,9605150-7,0.692
,,
9601108-4,9605150-7,0.692
,,
9601108-4,9605150-7,0.692
,,
9601108-4,9605150-14,0.741
,,
9601108-4,9605150-14,0.741
,,
9601108-4,9605150-14,0.741
,,
9605150-4,9606017-17,0.669
,,
9605150-4,9606017-17,0.669
,,
9605150-13,9606017-17,0.732
,,
9605150-13,9606017-17,0.732
,,
9605150-16,9606017-17,0.675
,,
9605150-7,9606017-1,0.682
,,
9605150-7,9606017-1,0.682
,,
9605150-7,9606017-1,0.682
,,
9605150-14,9606017-4,0.638
,,
9605150-14,9606017-4,0.638
,,
9605150-14,9606017-4,0.638
,,
9606017-17,9612080-0,0.643
,,
9606017-17,9612080-0,0.643
,,
9606017-17,9612080-0,0.643
,,
9606017-17,9612080-0,0.643
,,
9606017-17,9612080-0,0.643
,,
9606017-1,9612080-12,0.643
,,
9606017-1,9612080-3,0.644
,,
9606017-1,9612080-18,0.684
,,
9606017-4,9612080-18,0.663
,,
9606017-4,9612080-11,0.684
,,
9606017-4,9612080-11,0.684
,,
9612080-0,9803108-14,0.515
,,
9612080-0,9803108-14,0.515
,,
9612080-0,9803108-14,0.515
,,
9612080-0,9803108-14,0.515
,,
9612080-0,9803108-14,0.515
,,
9612080-12,9803108-11,0.545
,,
9612080-3,9803108-11,0.566
,,
9612080-18,9803108-11,0.554
,,
9612080-18,9803108-11,0.554
,,
9612080-11,9803108-9,0.555
,,
9612080-11,9803108-9,0.555
,,
9803108-14,9805069-9,0.599
,,
9803108-14,9805069-9,0.599
,,
9803108-14,9805069-9,0.599
,,
9803108-14,9805069-9,0.599
,,
9803108-14,9805069-9,0.599
,,
9803108-11,9805069-11,0.661
,,
9803108-11,9805069-11,0.661
,,
9803108-11,9805069-11,0.661
,,
9803108-11,9805069-11,0.661
,,
9803108-9,9805069-9,0.638
,,
9803108-9,9805069-12,0.714
,,
9805069-9,3161-9,0.612
,,
9805069-9,3161-9,0.612
,,
9805069-9,3161-9,0.612
,,
9805069-9,3161-9,0.612
,,
9805069-9,3161-9,0.612
,,
9805069-11,3161-8,0.573
,,
9805069-11,3161-8,0.573
,,
9805069-11,3161-8,0.573
,,
9805069-11,3161-8,0.573
,,
9805069-9,3161-9,0.612
,,
9805069-12,3161-15,0.618
,,
9904187-2,9911096-16,0.72
,,
9904187-2,9911096-16,0.72
,,
9904187-4,9911096-16,0.741
,,
9904187-4,9911096-16,0.741
,,
9904187-6,9911096-11,0.751
,,
9904187-6,9911096-11,0.751
,,
9904187-13,9911096-16,0.751
,,
9904187-13,9911096-16,0.751
,,
9904187-9,9911096-16,0.813
,,
9904187-9,9911096-16,0.813
,,
9911096-16,7170-8,0.815
,,
9911096-16,7170-8,0.815
,,
9911096-16,7170-8,0.815
,,
9911096-16,7170-8,0.815
,,
9911096-11,7170-15,0.658
,,
9911096-11,7170-15,0.658
,,
9911096-16,7170-8,0.815
,,
9911096-16,7170-8,0.815
,,
9911096-16,7170-8,0.815
,,
9911096-16,7170-8,0.815
,,
7170-8,12210-11,0.714
,,
7170-8,12210-11,0.714
,,
7170-8,12210-11,0.714
,,
7170-8,12210-11,0.714
,,
7170-15,12210-15,0.645
,,
7170-15,12210-17,0.649
,,
7170-8,12210-11,0.714
,,
7170-8,12210-11,0.714
,,
7170-8,12210-11,0.714
,,
7170-8,12210-11,0.714
,,
12210-11,101125-16,0.7
,,
12210-11,101125-16,0.7
,,
12210-11,101125-16,0.7
,,
12210-11,101125-16,0.7
,,
12210-15,101125-4,0.615
,,
12210-17,101125-17,0.578
,,
12210-11,101125-16,0.7
,,
12210-11,101125-16,0.7
,,
12210-11,101125-16,0.7
,,
12210-11,101125-16,0.7
,,
101125-16,102085-7,0.681
,,
101125-16,102085-7,0.681
,,
101125-16,102085-7,0.681
,,
101125-16,102085-7,0.681
,,
101125-4,102085-6,0.649
,,
101125-17,102085-19,0.716
,,
101125-16,102085-7,0.681
,,
101125-16,102085-7,0.681
,,
101125-16,102085-7,0.681
,,
101125-16,102085-7,0.681
,,
102085-7,106036-2,0.682
,,
102085-7,106036-2,0.682
,,
102085-7,106036-2,0.682
,,
102085-7,106036-2,0.682
,,
102085-6,106036-10,0.577
,,
102085-19,106036-0,0.597
,,
102085-7,106036-2,0.682
,,
102085-7,106036-2,0.682
,,
102085-7,106036-2,0.682
,,
102085-7,106036-2,0.682
,,
106036-2,202030-18,0.634
,,
106036-2,202030-10,0.636
,,
106036-2,202030-18,0.634
,,
106036-2,202030-10,0.636
,,
106036-10,202030-4,0.661
,,
106036-0,202030-2,0.688
,,
106036-2,202030-18,0.634
,,
106036-2,202030-10,0.636
,,
106036-2,202030-18,0.634
,,
106036-2,202030-10,0.636
,,
202030-18,202087-9,0.675
,,
202030-10,202087-0,0.603
,,
202030-18,202087-9,0.675
,,
202030-10,202087-0,0.603
,,
202030-4,202087-9,0.691
,,
202030-2,202087-17,0.632
,,
202030-18,202087-9,0.675
,,
202030-10,202087-0,0.603
,,
202030-18,202087-9,0.675
,,
202030-10,202087-0,0.603
,,
202087-9,203204-13,0.627
,,
202087-0,203204-11,0.735
,,
202087-9,203204-13,0.627
,,
202087-0,203204-11,0.735
,,
202087-9,203204-13,0.627
,,
202087-17,203204-11,0.599
,,
202087-9,203204-13,0.627
,,
202087-0,203204-11,0.735
,,
202087-9,203204-13,0.627
,,
202087-0,203204-11,0.735
,,
9307176-3,9407152-12,0.624
,,
9307176-7,9407152-18,0.631
,,
9307176-7,9407152-9,0.677
,,
9307176-3,9407152-10,0.679
,,
9307176-3,9407152-4,0.718
,,
9205098-18,9308034-19,0.725
,,
9205098-3,9308034-5,0.744
,,
9205098-9,9308034-17,0.744
,,
9205098-14,9308034-14,0.754
,,
9205098-18,9308034-18,0.76
,,
9308034-19,103016-10,0.707
,,
9308034-5,103016-14,0.68
,,
9308034-17,103016-6,0.667
,,
9308034-14,103016-6,0.656
,,
9308034-18,103016-6,0.588
,,
9202004-0,9602043-6,0.687
,,
9202004-0,9602043-6,0.687
,,
9202004-0,9602043-6,0.687
,,
9202004-0,9602043-6,0.687
,,
9202004-1,9602043-2,0.69
,,
9202004-1,9602043-2,0.69
,,
9202004-1,9602043-2,0.69
,,
9202004-1,9602043-2,0.69
,,
9202004-1,9602043-2,0.69
,,
9202004-1,9602043-3,0.704
,,
9202004-1,9602043-3,0.704
,,
9202004-1,9602043-3,0.704
,,
9202004-1,9602043-3,0.704
,,
9202004-1,9602043-3,0.704
,,
9202004-1,9602043-3,0.704
,,
9202004-1,9602043-3,0.704
,,
9202004-1,9602043-3,0.704
,,
9202004-1,9602043-3,0.704
,,
9202004-1,9602043-3,0.704
,,
9202004-1,9602043-3,0.704
,,
9202004-1,9602043-3,0.704
,,
9202004-1,9602043-3,0.704
,,
9202004-1,9602043-15,0.714
,,
9202004-1,9602043-1,0.752
,,
9202004-1,9602043-1,0.752
,,
9202004-1,9602043-1,0.752
,,
9202004-1,9602043-1,0.752
,,
9202004-1,9602043-1,0.752
,,
9602043-6,9603081-12,0.589
,,
9602043-6,9603081-12,0.589
,,
9602043-6,9603081-12,0.589
,,
9602043-6,9603081-12,0.589
,,
9602043-2,9603081-3,0.54
,,
9602043-2,9603081-3,0.54
,,
9602043-2,9603081-3,0.54
,,
9602043-2,9603081-3,0.54
,,
9602043-2,9603081-3,0.54
,,
9602043-3,9603081-3,0.64
,,
9602043-3,9603081-3,0.64
,,
9602043-3,9603081-3,0.64
,,
9602043-3,9603081-3,0.64
,,
9602043-3,9603081-3,0.64
,,
9602043-3,9603081-14,0.669
,,
9602043-3,9603081-14,0.669
,,
9602043-3,9603081-14,0.669
,,
9602043-3,9603081-14,0.669
,,
9602043-3,9603081-14,0.669
,,
9602043-3,9603081-14,0.669
,,
9602043-3,9603081-14,0.669
,,
9602043-3,9603081-14,0.669
,,
9602043-15,9603081-7,0.631
,,
9602043-1,9603081-3,0.587
,,
9602043-1,9603081-3,0.587
,,
9602043-1,9603081-3,0.587
,,
9602043-1,9603081-3,0.587
,,
9602043-1,9603081-3,0.587
,,
9603081-12,9603127-19,0.63
,,
9603081-12,9603127-19,0.63
,,
9603081-12,9603127-19,0.63
,,
9603081-12,9603127-19,0.63
,,
9603081-3,9603127-19,0.647
,,
9603081-3,9603127-19,0.647
,,
9603081-3,9603127-19,0.647
,,
9603081-3,9603127-19,0.647
,,
9603081-3,9603127-17,0.666
,,
9603081-3,9603127-19,0.647
,,
9603081-3,9603127-19,0.647
,,
9603081-3,9603127-19,0.647
,,
9603081-3,9603127-19,0.647
,,
9603081-3,9603127-17,0.666
,,
9603081-14,9603127-19,0.651
,,
9603081-14,9603127-19,0.651
,,
9603081-14,9603127-19,0.651
,,
9603081-14,9603127-19,0.651
,,
9603081-14,9603127-16,0.7
,,
9603081-14,9603127-16,0.7
,,
9603081-14,9603127-16,0.7
,,
9603081-14,9603127-17,0.768
,,
9603081-7,9603127-13,0.553
,,
9603081-3,9603127-19,0.647
,,
9603081-3,9603127-19,0.647
,,
9603081-3,9603127-19,0.647
,,
9603081-3,9603127-19,0.647
,,
9603081-3,9603127-17,0.666
,,
9603127-19,9607050-1,0.654
,,
9603127-19,9607050-1,0.654
,,
9603127-19,9607050-1,0.654
,,
9603127-19,9607050-1,0.654
,,
9603127-19,9607050-1,0.654
,,
9603127-19,9607050-1,0.654
,,
9603127-19,9607050-1,0.654
,,
9603127-19,9607050-1,0.654
,,
9603127-17,9607050-9,0.666
,,
9603127-19,9607050-1,0.654
,,
9603127-19,9607050-1,0.654
,,
9603127-19,9607050-1,0.654
,,
9603127-19,9607050-1,0.654
,,
9603127-17,9607050-9,0.666
,,
9603127-19,9607050-1,0.654
,,
9603127-19,9607050-1,0.654
,,
9603127-19,9607050-1,0.654
,,
9603127-19,9607050-1,0.654
,,
9603127-16,9607050-15,0.585
,,
9603127-16,9607050-15,0.585
,,
9603127-16,9607050-15,0.585
,,
9603127-17,9607050-9,0.666
,,
9603127-13,9607050-4,0.59
,,
9603127-19,9607050-1,0.654
,,
9603127-19,9607050-1,0.654
,,
9603127-19,9607050-1,0.654
,,
9603127-19,9607050-1,0.654
,,
9603127-17,9607050-9,0.666
,,
9607050-1,9608019-3,0.725
,,
9607050-1,9608019-3,0.725
,,
9607050-1,9608019-3,0.725
,,
9607050-1,9608019-13,0.756
,,
9607050-1,9608019-3,0.725
,,
9607050-1,9608019-3,0.725
,,
9607050-1,9608019-3,0.725
,,
9607050-1,9608019-13,0.756
,,
9607050-9,9608019-13,0.693
,,
9607050-1,9608019-3,0.725
,,
9607050-1,9608019-3,0.725
,,
9607050-1,9608019-3,0.725
,,
9607050-1,9608019-13,0.756
,,
9607050-9,9608019-13,0.693
,,
9607050-1,9608019-3,0.725
,,
9607050-1,9608019-3,0.725
,,
9607050-1,9608019-3,0.725
,,
9607050-1,9608019-13,0.756
,,
9607050-15,9608019-3,0.66
,,
9607050-15,9608019-3,0.66
,,
9607050-15,9608019-3,0.66
,,
9607050-9,9608019-13,0.693
,,
9607050-4,9608019-13,0.691
,,
9607050-1,9608019-3,0.725
,,
9607050-1,9608019-3,0.725
,,
9607050-1,9608019-3,0.725
,,
9607050-1,9608019-13,0.756
,,
9607050-9,9608019-13,0.693
,,
9608019-3,9902071-11,0.639
,,
9608019-3,9902071-11,0.639
,,
9608019-3,9902071-11,0.639
,,
9608019-13,9902071-17,0.717
,,
9608019-3,9902071-11,0.639
,,
9608019-3,9902071-11,0.639
,,
9608019-3,9902071-11,0.639
,,
9608019-13,9902071-17,0.717
,,
9608019-13,9902071-17,0.717
,,
9608019-3,9902071-11,0.639
,,
9608019-3,9902071-11,0.639
,,
9608019-3,9902071-11,0.639
,,
9608019-13,9902071-17,0.717
,,
9608019-13,9902071-17,0.717
,,
9608019-3,9902071-11,0.639
,,
9608019-3,9902071-11,0.639
,,
9608019-3,9902071-11,0.639
,,
9608019-13,9902071-17,0.717
,,
9608019-3,9902071-11,0.639
,,
9608019-3,9902071-11,0.639
,,
9608019-3,9902071-11,0.639
,,
9608019-13,9902071-17,0.717
,,
9608019-13,9902071-17,0.717
,,
9608019-3,9902071-11,0.639
,,
9608019-3,9902071-11,0.639
,,
9608019-3,9902071-11,0.639
,,
9608019-13,9902071-17,0.717
,,
9608019-13,9902071-17,0.717
,,
9902071-11,9905210-8,0.747
,,
9902071-11,9905210-8,0.747
,,
9902071-11,9905210-8,0.747
,,
9902071-17,9905210-10,0.711
,,
9902071-11,9905210-8,0.747
,,
9902071-11,9905210-8,0.747
,,
9902071-11,9905210-8,0.747
,,
9902071-17,9905210-10,0.711
,,
9902071-17,9905210-10,0.711
,,
9902071-11,9905210-8,0.747
,,
9902071-11,9905210-8,0.747
,,
9902071-11,9905210-8,0.747
,,
9902071-17,9905210-10,0.711
,,
9902071-17,9905210-10,0.711
,,
9902071-11,9905210-8,0.747
,,
9902071-11,9905210-8,0.747
,,
9902071-11,9905210-8,0.747
,,
9902071-17,9905210-10,0.711
,,
9902071-11,9905210-8,0.747
,,
9902071-11,9905210-8,0.747
,,
9902071-11,9905210-8,0.747
,,
9902071-17,9905210-10,0.711
,,
9902071-17,9905210-10,0.711
,,
9902071-11,9905210-8,0.747
,,
9902071-11,9905210-8,0.747
,,
9902071-11,9905210-8,0.747
,,
9902071-17,9905210-10,0.711
,,
9902071-17,9905210-10,0.711
,,
9905210-8,9909134-12,0.724
,,
9905210-8,9909134-16,0.763
,,
9905210-8,9909134-17,0.771
,,
9905210-10,9909134-6,0.705
,,
9905210-8,9909134-12,0.724
,,
9905210-8,9909134-16,0.763
,,
9905210-8,9909134-17,0.771
,,
9905210-10,9909134-6,0.705
,,
9905210-10,9909134-6,0.705
,,
9905210-8,9909134-12,0.724
,,
9905210-8,9909134-16,0.763
,,
9905210-8,9909134-17,0.771
,,
9905210-10,9909134-6,0.705
,,
9905210-10,9909134-6,0.705
,,
9905210-8,9909134-12,0.724
,,
9905210-8,9909134-16,0.763
,,
9905210-8,9909134-17,0.771
,,
9905210-10,9909134-6,0.705
,,
9905210-8,9909134-12,0.724
,,
9905210-8,9909134-16,0.763
,,
9905210-8,9909134-17,0.771
,,
9905210-10,9909134-6,0.705
,,
9905210-10,9909134-6,0.705
,,
9905210-8,9909134-12,0.724
,,
9905210-8,9909134-16,0.763
,,
9905210-8,9909134-17,0.771
,,
9905210-10,9909134-6,0.705
,,
9905210-10,9909134-6,0.705
,,
9909134-12,9909205-10,0.584
,,
9909134-16,9909205-8,0.652
,,
9909134-17,9909205-17,0.713
,,
9909134-6,9909205-10,0.663
,,
9909134-12,9909205-10,0.584
,,
9909134-16,9909205-8,0.652
,,
9909134-17,9909205-17,0.713
,,
9909134-6,9909205-10,0.663
,,
9909134-6,9909205-10,0.663
,,
9909134-12,9909205-10,0.584
,,
9909134-16,9909205-8,0.652
,,
9909134-17,9909205-17,0.713
,,
9909134-6,9909205-10,0.663
,,
9909134-6,9909205-10,0.663
,,
9909134-12,9909205-10,0.584
,,
9909134-16,9909205-8,0.652
,,
9909134-17,9909205-17,0.713
,,
9909134-6,9909205-10,0.663
,,
9909134-12,9909205-10,0.584
,,
9909134-16,9909205-8,0.652
,,
9909134-17,9909205-17,0.713
,,
9909134-6,9909205-10,0.663
,,
9909134-6,9909205-10,0.663
,,
9909134-12,9909205-10,0.584
,,
9909134-16,9909205-8,0.652
,,
9909134-17,9909205-17,0.713
,,
9909134-6,9909205-10,0.663
,,
9909134-6,9909205-10,0.663
,,
9909205-10,9910269-2,0.679
,,
9909205-8,9910269-2,0.655
,,
9909205-17,9910269-6,0.755
,,
9909205-10,9910269-2,0.679
,,
9909205-10,9910269-2,0.679
,,
9909205-8,9910269-2,0.655
,,
9909205-17,9910269-6,0.755
,,
9909205-10,9910269-2,0.679
,,
9909205-10,9910269-2,0.679
,,
9909205-10,9910269-2,0.679
,,
9909205-8,9910269-2,0.655
,,
9909205-17,9910269-6,0.755
,,
9909205-10,9910269-2,0.679
,,
9909205-10,9910269-2,0.679
,,
9909205-10,9910269-2,0.679
,,
9909205-8,9910269-2,0.655
,,
9909205-17,9910269-6,0.755
,,
9909205-10,9910269-2,0.679
,,
9909205-10,9910269-2,0.679
,,
9909205-8,9910269-2,0.655
,,
9909205-17,9910269-6,0.755
,,
9909205-10,9910269-2,0.679
,,
9909205-10,9910269-2,0.679
,,
9909205-10,9910269-2,0.679
,,
9909205-8,9910269-2,0.655
,,
9909205-17,9910269-6,0.755
,,
9909205-10,9910269-2,0.679
,,
9909205-10,9910269-2,0.679
,,
9602180-3,9902018-5,0.584
,,
9602180-4,9902018-10,0.59
,,
9602180-4,9902018-18,0.606
,,
9602180-0,9902018-10,0.622
,,
9602180-0,9902018-18,0.622
,,
9902018-5,208073-14,0.644
,,
9902018-10,208073-3,0.628
,,
9902018-18,208073-11,0.667
,,
9902018-10,208073-3,0.628
,,
9902018-18,208073-11,0.667
,,
208073-14,212235-1,0.71
,,
208073-3,212235-17,0.608
,,
208073-11,212235-12,0.681
,,
208073-3,212235-17,0.608
,,
208073-11,212235-12,0.681
,,
9305139-16,9609017-17,0.592
,,
9305139-16,9609017-17,0.592
,,
9305139-16,9609017-17,0.592
,,
9305139-16,9609017-17,0.592
,,
9305139-16,9609017-17,0.592
,,
9305139-4,9609017-4,0.594
,,
9305139-4,9609017-4,0.594
,,
9305139-4,9609017-4,0.594
,,
9305139-4,9609017-4,0.594
,,
9305139-4,9609017-4,0.594
,,
9305139-4,9609017-4,0.594
,,
9305139-4,9609017-4,0.594
,,
9305139-4,9609017-4,0.594
,,
9305139-4,9609017-4,0.594
,,
9305139-4,9609017-4,0.594
,,
9305139-4,9609017-4,0.594
,,
9305139-4,9609017-4,0.594
,,
9305139-4,9609017-4,0.594
,,
9305139-4,9609017-4,0.594
,,
9305139-4,9609017-4,0.594
,,
9305139-4,9609017-4,0.594
,,
9305139-4,9609017-4,0.594
,,
9305139-4,9609017-4,0.594
,,
9305139-4,9609017-4,0.594
,,
9305139-4,9609017-4,0.594
,,
9305139-4,9609017-4,0.594
,,
9305139-4,9609017-4,0.594
,,
9305139-8,9609017-18,0.596
,,
9305139-8,9609017-18,0.596
,,
9305139-8,9609017-18,0.596
,,
9305139-8,9609017-18,0.596
,,
9305139-8,9609017-18,0.596
,,
9305139-8,9609017-11,0.618
,,
9305139-5,9609017-5,0.643
,,
9305139-5,9609017-5,0.643
,,
9305139-5,9609017-5,0.643
,,
9305139-5,9609017-5,0.643
,,
9305139-5,9609017-5,0.643
,,
9305139-5,9609017-5,0.643
,,
9305139-5,9609017-5,0.643
,,
9305139-5,9609017-5,0.643
,,
9305139-5,9609017-5,0.643
,,
9305139-5,9609017-5,0.643
,,
9609017-17,9612126-12,0.559
,,
9609017-17,9612126-12,0.559
,,
9609017-17,9612126-12,0.559
,,
9609017-17,9612126-12,0.559
,,
9609017-17,9612126-12,0.559
,,
9609017-4,9612126-8,0.621
,,
9609017-4,9612126-8,0.621
,,
9609017-4,9612126-8,0.621
,,
9609017-4,9612126-8,0.621
,,
9609017-4,9612126-8,0.621
,,
9609017-4,9612126-8,0.621
,,
9609017-4,9612126-8,0.621
,,
9609017-4,9612126-8,0.621
,,
9609017-4,9612126-8,0.621
,,
9609017-4,9612126-8,0.621
,,
9609017-4,9612126-8,0.621
,,
9609017-4,9612126-8,0.621
,,
9609017-4,9612126-8,0.621
,,
9609017-4,9612126-8,0.621
,,
9609017-4,9612126-8,0.621
,,
9609017-4,9612126-8,0.621
,,
9609017-4,9612126-8,0.621
,,
9609017-4,9612126-8,0.621
,,
9609017-4,9612126-8,0.621
,,
9609017-4,9612126-8,0.621
,,
9609017-4,9612126-8,0.621
,,
9609017-4,9612126-8,0.621
,,
9609017-18,9612126-19,0.559
,,
9609017-18,9612126-19,0.559
,,
9609017-18,9612126-19,0.559
,,
9609017-18,9612126-19,0.559
,,
9609017-18,9612126-19,0.559
,,
9609017-11,9612126-0,0.623
,,
9609017-5,9612126-13,0.728
,,
9609017-5,9612126-13,0.728
,,
9609017-5,9612126-13,0.728
,,
9609017-5,9612126-13,0.728
,,
9609017-5,9612126-13,0.728
,,
9609017-5,9612126-14,0.737
,,
9609017-5,9612126-14,0.737
,,
9609017-5,9612126-14,0.737
,,
9609017-5,9612126-14,0.737
,,
9609017-5,9612126-14,0.737
,,
9612126-12,9702136-11,0.574
,,
9612126-12,9702136-11,0.574
,,
9612126-12,9702136-11,0.574
,,
9612126-12,9702136-11,0.574
,,
